Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population",744385,"(+/- 4981 )",665539,"(+/- 7079 )",740700,"(+/- 9410 )",785104,"(+/- 19145 )",793039,"(+/- 13915 )",754299,"(+/- 10790 )",803976,"(+/- 17033 )",714720,"(+/- 6522 )",765320,"(+/- 6205 )",767352,"(+/- 13064 )",781313,"(+/- 12118 )",723334,"(+/- 6201 )",757521,"(+/- 18192 )",722873,"(+/- 3197 )"
People,"Sex and Age",Male,364112,"(+/- 3676 )",327152,"(+/- 4364 )",361367,"(+/- 5533 )",373317,"(+/- 10970 )",380694,"(+/- 8902 )",378191,"(+/- 7561 )",390013,"(+/- 10192 )",351303,"(+/- 4306 )",375786,"(+/- 4305 )",376255,"(+/- 7656 )",379352,"(+/- 7405 )",355303,"(+/- 5004 )",352704,"(+/- 11357 )",354741,"(+/- 3129 )"
People,"Sex and Age",Female,380273,"(+/- 4117 )",338387,"(+/- 4649 )",379333,"(+/- 5556 )",411787,"(+/- 11995 )",412345,"(+/- 8807 )",376108,"(+/- 7036 )",413963,"(+/- 9642 )",363417,"(+/- 4864 )",389534,"(+/- 4397 )",391097,"(+/- 8266 )",401961,"(+/- 7315 )",368031,"(+/- 4156 )",404817,"(+/- 10372 )",368132,"(+/- 3318 )"
People,"Sex and Age","Under 5 years",49240,"(+/- 1852 )",41226,"(+/- 1833 )",37942,"(+/- 2259 )",51283,"(+/- 3584 )",49797,"(+/- 4185 )",42451,"(+/- 3604 )",52011,"(+/- 2944 )",43185,"(+/- 2497 )",43178,"(+/- 1960 )",44123,"(+/- 3097 )",49995,"(+/- 2716 )",44446,"(+/- 2150 )",52091,"(+/- 3953 )",44520,"(+/- 1784 )"
People,"Sex and Age","5 to 9 years",50182,"(+/- 3011 )",44820,"(+/- 3346 )",45015,"(+/- 3245 )",57050,"(+/- 5608 )",51048,"(+/- 4679 )",50246,"(+/- 3744 )",55116,"(+/- 3784 )",45104,"(+/- 3866 )",45193,"(+/- 2935 )",51859,"(+/- 3475 )",45988,"(+/- 3810 )",42934,"(+/- 3091 )",54005,"(+/- 5423 )",44482,"(+/- 2870 )"
People,"Sex and Age","10 to 14 years",47311,"(+/- 3217 )",44094,"(+/- 3174 )",55692,"(+/- 3510 )",52707,"(+/- 4440 )",43525,"(+/- 4555 )",52139,"(+/- 4086 )",68192,"(+/- 5068 )",53353,"(+/- 3842 )",50812,"(+/- 3192 )",54861,"(+/- 3907 )",53712,"(+/- 3867 )",54098,"(+/- 3531 )",55724,"(+/- 5003 )",52798,"(+/- 2908 )"
People,"Sex and Age","15 to 19 years",49417,"(+/- 2684 )",47984,"(+/- 2971 )",60190,"(+/- 3948 )",53819,"(+/- 4220 )",52173,"(+/- 3766 )",50302,"(+/- 3324 )",60801,"(+/- 3624 )",50885,"(+/- 3081 )",55612,"(+/- 3024 )",57187,"(+/- 3298 )",53184,"(+/- 3402 )",56654,"(+/- 3983 )",54066,"(+/- 4076 )",52103,"(+/- 3059 )"
People,"Sex and Age","20 to 24 years",53304,"(+/- 2722 )",50200,"(+/- 2856 )",47244,"(+/- 3242 )",51830,"(+/- 3949 )",72155,"(+/- 3830 )",34351,"(+/- 3844 )",50786,"(+/- 3197 )",48079,"(+/- 3542 )",48046,"(+/- 3320 )",60735,"(+/- 3688 )",53203,"(+/- 3015 )",56036,"(+/- 3932 )",46665,"(+/- 3979 )",46744,"(+/- 2852 )"
People,"Sex and Age","25 to 34 years",109849,"(+/- 3157 )",88435,"(+/- 3964 )",89765,"(+/- 4586 )",109916,"(+/- 5409 )",154780,"(+/- 6359 )",101598,"(+/- 5744 )",99681,"(+/- 4679 )",97538,"(+/- 4084 )",90971,"(+/- 2991 )",93674,"(+/- 4337 )",115253,"(+/- 3945 )",99443,"(+/- 3622 )",102935,"(+/- 5747 )",88405,"(+/- 4398 )"
People,"Sex and Age","35 to 44 years",97658,"(+/- 3061 )",81931,"(+/- 2974 )",93516,"(+/- 4466 )",103817,"(+/- 4772 )",112042,"(+/- 5871 )",112324,"(+/- 4936 )",119500,"(+/- 4767 )",88867,"(+/- 4070 )",91813,"(+/- 3700 )",97983,"(+/- 5143 )",105381,"(+/- 4288 )",90697,"(+/- 3586 )",109176,"(+/- 5864 )",96339,"(+/- 3339 )"
